범죄분류,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
대부업 등의 등록 및 금융이용자 보호에 관한법률,172 ,80 ,40 ,41 ,25 ,13 ,24 ,1 ,186 ,16 ,10 ,16 ,21 ,18 ,20 ,56 ,20 
도로교통법,2603 ,770 ,486 ,758 ,247 ,162 ,393 ,30 ,3285 ,334 ,333 ,516 ,265 ,378 ,543 ,755 ,213 
도로교통법(무면허운전),2600 ,1201 ,1174 ,1085 ,384 ,293 ,423 ,49 ,4356 ,738 ,910 ,897 ,448 ,895 ,1216 ,1493 ,320 
도로교통법(사고후미조치),840 ,232 ,404 ,365 ,340 ,82 ,163 ,33 ,3607 ,274 ,228 ,411 ,246 ,453 ,434 ,622 ,248 
도로교통법(음주운전),9070 ,3913 ,4415 ,4724 ,3373 ,2191 ,2021 ,413 ,25740 ,3335 ,3365 ,5119 ,3359 ,4475 ,5557 ,7835 ,2150 
도로교통법(음주측정거부),296 ,145 ,124 ,109 ,105 ,53 ,42 ,20 ,828 ,151 ,131 ,272 ,130 ,201 ,230 ,338 ,68 
도로법,143 ,206 ,152 ,374 ,73 ,47 ,30 ,14 ,1587 ,138 ,83 ,406 ,179 ,106 ,216 ,548 ,4 
도시 및 주거환경 정비법,137 ,88 ,53 ,18 ,15 ,20 ,3 ,0 ,93 ,17 ,5 ,4 ,17 ,3 ,2 ,22 ,0 
독점규제 및 공정거래에 관한법률,22 ,5 ,0 ,2 ,0 ,1 ,0 ,0 ,5 ,0 ,0 ,1 ,0 ,0 ,0 ,2 ,0 
디자인보호법,42 ,19 ,5 ,10 ,0 ,21 ,0 ,0 ,70 ,3 ,1 ,5 ,2 ,2 ,3 ,4 ,1 
마약류 관리에 관한법률(대마),589 ,61 ,23 ,422 ,23 ,9 ,4 ,0 ,322 ,25 ,19 ,36 ,10 ,11 ,52 ,64 ,12 
마약류 관리에 관한법률(마약),97 ,36 ,42 ,25 ,7 ,15 ,6 ,13 ,323 ,76 ,116 ,125 ,25 ,90 ,184 ,152 ,6 
마약류 관리에 관한법률(향정),1609 ,599 ,267 ,845 ,110 ,91 ,36 ,27 ,1417 ,85 ,121 ,151 ,80 ,117 ,155 ,309 ,20 
물환경보전법,25 ,38 ,8 ,21 ,6 ,5 ,18 ,0 ,210 ,14 ,35 ,51 ,28 ,18 ,42 ,82 ,0 
배타적경제수역에서의 외국인어업등에 관한 주권적권리의 행사에 관한법률,0 ,0 ,0 ,10 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,26 ,42 ,0 ,0 ,17 
범죄수익 은닉의 규제 및 처벌 등에 관한법률,42 ,26 ,32 ,11 ,15 ,16 ,6 ,0 ,78 ,2 ,3 ,9 ,8 ,10 ,17 ,7 ,2 
변호사법,101 ,28 ,6 ,16 ,25 ,6 ,2 ,4 ,111 ,7 ,6 ,5 ,10 ,18 ,5 ,11 ,2 
병역법,305 ,82 ,98 ,132 ,52 ,50 ,14 ,6 ,362 ,45 ,56 ,63 ,52 ,55 ,93 ,118 ,21 
보조금관리에 관한법률,43 ,38 ,26 ,26 ,17 ,7 ,9 ,3 ,67 ,17 ,13 ,30 ,20 ,41 ,17 ,293 ,4 
부동산 실권리자 명의 등기에 관한법률,47 ,22 ,18 ,15 ,12 ,9 ,4 ,7 ,119 ,19 ,21 ,24 ,19 ,17 ,16 ,30 ,14 
부정경쟁방지 및 영업비밀 보호에 관한법률,154 ,22 ,17 ,20 ,6 ,45 ,4 ,2 ,122 ,6 ,8 ,18 ,8 ,11 ,13 ,29 ,2 
부정수표단속법,231 ,67 ,107 ,13 ,3 ,3 ,1 ,2 ,140 ,13 ,9 ,6 ,10 ,4 ,7 ,45 ,8 
사행행위 등 규제 및 처벌특례법,30 ,23 ,2 ,13 ,9 ,3 ,0 ,2 ,44 ,1 ,4 ,8 ,0 ,3 ,8 ,30 ,2 
산림자원의 조성 및 관리에 관한법률,10 ,8 ,4 ,16 ,4 ,5 ,4 ,8 ,75 ,109 ,50 ,74 ,89 ,62 ,167 ,49 ,2 
산업안전보건법,568 ,308 ,182 ,1 ,228 ,12 ,138 ,1 ,1546 ,197 ,118 ,372 ,181 ,140 ,204 ,281 ,0 
산지관리법,12 ,13 ,4 ,44 ,4 ,4 ,17 ,41 ,567 ,272 ,205 ,377 ,207 ,172 ,377 ,207 ,0 
